SNo,ScripCode,NameOfCompany
506,543259,Home First Finance Company India Limited
507,523704,Mastek Limited
508,524230,Rashtriya Chemicals & Fertilizers Limited
509,505509,Responsive Industries Ltd
510,539807,INFIBEAM AVENUES LIMITED
511,504614,Sarda Energy & Minerals Ltd
512,500038,Balrampur Chini Mills Ltd.
513,533088,Mahindra Holidays & Resorts India Limited
514,541578,Varroc Engineering Limited
515,507880,"V.I.P. Industries Ltd.,"
516,543957,REDTAPE Limited
517,543626,Electronics Mart India Limited
518,543596,Tamilnad Mercantile Bank Limited
519,543523,Campus Activewear Limited
520,500214,Ion Exchange (India) Ltd
521,530813,KRBL Ltd.
522,532638,Shoppers Stop Ltd
523,500241,"Kirloskar Brothers Ltd.,"
524,543272,Easy Trip Planners Limited
525,543657,Archean Chemical Industries Limited
526,543413,Tega Industries Limited
527,540575,Star Cement Limited
528,500245,Kirloskar Ferrous Industries Ltd.
529,541195,Mishra Dhatu Nigam Limited
530,524558,Neuland Laboratories Limited.
531,539978,Quess Corp Limited
532,500413,"Thomas Cook (India) Ltd.,"
533,543980,Jupiter Life Line Hospitals Limited
534,533169,MAN INFRACONSTRUCTION LIMITED
535,532356,Triveni Engineering & Industries Ltd
536,532757,VOLTAMP TRANSFORMERS LIMITED
537,532942,KNR Constructions Limited
538,543945,NETWEB TECHNOLOGIES INDIA LIMITED
539,543271,Jubilant Ingrevia Limited
540,543336,Chemplast Sanmar Limited
541,500645,Deepak Fertilizers &Petrochemicals
542,539302,Power Mech Projects Limited
543,532749,Allcargo Logistics Ltd
544,532915,Religare Enterprises Ltd
545,542323,KPI Green Energy Limited
546,530005,"India Cements Ltd.,"
547,543277,Laxmi Organic Industries Limited
548,530999,Balaji Amines Ltd.
549,513023,NAVA LIMITED
550,543669,Keystone Realtors Limited
551,520113,Vesuvius India Ltd.
552,542907,Prince Pipes and Fittings Limited
553,532163,Saregama India Ltd.
554,538730,PDS LIMITED
555,535648,Just Dial Limited
556,509631,HEG Ltd.
557,500101,"Arvind Ltd.,"
558,533339,Zen Technologies Ltd.
559,532156,Vaibhav Global Ltd
560,542759,Spandana Sphoorty Financial Limited
561,524404,Marksans Pharma Ltd.
562,509557,GARWARE TECHNICAL FIBRES LIMITED
563,538979,Greenlam Industries Ltd
564,531599,FDC Ltd.
565,533282,GRAVITA INDIA LIMITED
566,532783,LT Foods Limited
567,500033,Force Motors Limited
568,533033,ISGEC Heavy Engineering Limited
569,532922,Edelweiss Financial Services Ltd.
570,543258,Indigo Paints Limited
571,539874,Ujjivan Financial Services Limited
572,532300,Wockhardt Ltd
573,543253,Mrs. Bectors Food Specialities Limited
574,530343,Genus Power Infrastructures Ltd
575,500123,Elantas Beck India Ltd
576,531543,Jindal Worldwide Ltd.
577,512179,Sunteck Realty Ltd
578,500336,"Surya Roshni Ltd.,"
579,505255,GMM Pfaudler Ltd.
580,532349,Transport Corporation of India Ltd
581,532218,South Indian Bank Ltd.
582,504918,"Sandur Manganese & Iron Ores Ltd.,"
583,543350,Vijaya Diagnostic Centre Limited
584,542867,CSB Bank Limited
585,533326,Texmaco Rail & Engineering Limited
586,502219,BOROSIL RENEWABLES LIMITED
587,532642,JSW Holdings Limited
588,512573,Avanti Feeds ltd.
589,532162,JK Paper Ltd.
590,543297,Inox Wind Energy Limited
591,543401,Go Fashion (India) Limited
592,544009,Blue Jet Healthcare Limited
593,544061,Azad Engineering Limited
594,544044,India Shelter Finance Corporation Limited
595,543270,MTAR Technologies Limited
596,532531,STRIDES PHARMA SCIENCE LIMITED
597,533286,MOIL Limited
598,517385,Symphony Limited
599,532811,Ahluwalia Contracts (India) Ltd
600,543952,NIIT Learning Systems Limited
601,521016,Indo Count Industries Ltd
602,500135,EPL LIMITED
603,540725,Share India Securities Limited
604,543441,CMS Info Systems Limited
605,540047,Dilip Buildcon Limited
606,543936,Senco Gold Limited
607,541019,H.G. Infra Engineering Limited
608,519126,"Hindustan Foods Ltd.,"
609,543325,Rolex Rings Limited
610,543942,UTKARSH SMALL FINANCE BANK LIMITED
611,512237,Jai Corp Limited
612,542484,Arvind Fashions Limited
613,505355,Nesco Ltd
614,538891,MAGELLANIC CLOUD LIMITED
615,543530,Paradeep Phosphates Limited
616,532735,R Systems International Limited
617,543280,Nazara Technologies Limited
618,544022,ASK Automotive Limited
619,532493,Astra Microwave Products Ltd.
620,539118,VRL Logistics Limited
621,532832,Indiabulls Real Estate Limited
622,532524,PTC India Ltd
623,539992,LLOYDS ENGINEERING WORKS LIMITED
624,543652,Fusion Micro Finance Limited
625,543532,ETHOS LIMITED
626,530001,"Gujarat Alkalis & Chemicals Ltd.,"
627,532374,Sterlite Technologies Limited.
628,500339,Rain Industries Limited
629,532509,Suprajit Engineering Ltd.
630,543248,Restaurant Brands Asia Limited
631,543933,Cyient DLM Limited
632,500187,AGI GREENPAC LIMITED
633,509966,"VST Industries Ltd.,"
634,500185,"Hindustan Construction Co. Ltd.,"
635,532835,ICRA Limited
636,532900,PAISALO DIGITAL LIMITED
637,532375,Tips Industries Limited
638,505714,Gabriel India Ltd.
639,543527,Prudent Corporate Advisory Services Limited
640,542597,MSTC Limited
641,532891,Puravankara Limited
642,533581,PG Electroplast Limited
643,509496,ITD Cementation India Ltd
644,532668,Aurionpro Solutions Ltd.
645,505890,Kennametal India Limtied
646,543489,Gateway Distriparks Limited
647,543358,Sansera Engineering Limited
648,543306,Dodla Dairy Limited
649,538268,Wonderla Holidays Limited
650,532630,Gokaldas Exports Ltd
651,543242,Hemisphere Properties India Limited
652,540673,SIS LIMITED
653,531358,Choice International Ltd
654,500171,GHCL Ltd.
655,533122,RattanIndia Power Limited
656,533151,D.B.Corp Limited
657,532804,Technocraft Industries (India) Ltd.
658,539787,HealthCare Global Enterprises Limited
659,532532,Jaiprakash Associates Limited
660,540749,MAS Financial Services Limited
661,532189,India Tourism Development Corporati
662,507717,Dhanuka Agritech Ltd.
663,526367,Ganesh Housing Corporation Ltd.
664,512329,SG MART LIMITED
665,502937,Kesoram Industries Ltd
666,500355,Rallis India Ltd
667,535754,ORIENT CEMENT LIMITED
668,539658,TeamLease Services Limited
669,544021,Protean eGov Technologies Limited
670,505726,IFB Industries Limited
671,522285,Jayaswal Neco Industries Ltd
672,540212,TCI Express Limited
673,544027,Fedbank Financial Services Limited
674,500292,HeidelbergCement  India Limited
675,520051,"Jamna Auto Industries Ltd.,"
676,533262,Ramky Infrastructure Limited
677,531120,Patel Engineering Ltd
678,544122,Entero Healthcare Solutions Limited
679,512463,LLOYDS ENTERPRISES LIMITED
680,530117,PRIVI SPECIALITY CHEMICALS LIMITED
681,540293,Pricol Limited
682,544118,JANA SMALL FINANCE BANK LIMITED
683,532732,Kewal Kiran Clothing Ltd.
684,523630,"National Fertilizers Ltd.,"
685,543711,Sula Vineyards Limited
686,541301,Orient Electric Limited
687,524348,Aarti Drugs Limited
688,532856,Time Technoplast Limited
689,507205,Tilaknagar Industries Ltd
690,532553,Welspun Enterprises Limited
691,532928,Transformers and Rectifiers (India) Limited
692,533271,Ashoka Buildcon Limited
693,500444,West Coast Paper Mills Limited
694,532029,Sindhu Trade Links Limited
695,533553,TD Power Systems Ltd
696,500039,"Banco Products (India) Ltd.,"
697,500463,BLACK BOX LIMITED
698,543332,Epigral Limited
699,542857,Greenpanel Industries Limited
700,524372,Orchid Pharma Limited
701,543748,Aarti Pharmalabs Limited
702,500730,NOCIL Ltd
703,532940,J. Kumar Infraprojects Limited
704,544111,Apeejay Surrendra Park Hotels Limited
705,532859,Hinduja Global Solutions Limited
706,533269,VA Tech Wabag Limited
707,544008,Max Estates Limited
708,544140,Gopal Snacks Limited
709,505283,Kirloskar Pneumatic Co.Ltd.
710,542773,IIFL Securities Limited
711,543212,Borosil Limited
712,532726,GALLANTT ISPAT LIMITED
713,530073,Sanghvi Movers Ltd.
714,543533,eMudhra Limited
715,543249,TARC LIMITED
716,543349,Ami Organics Limited
717,543213,ROSSARI BIOTECH LIMITED
718,540205,Aditya Vision Limited
719,505242,"Dynamatic Technologies Ltd.,"
720,543984,Samhi Hotels Limited
721,500285,SpiceJet Limited
722,540025,Advanced Enzyme Technologies Limited
723,522034,"Shanthi Gears Ltd.,"
724,513262,Steel Strips & Wheels Ltd
725,538567,Gulf Oil Lubricants India Limited
726,500219,"Jain Irrigation Systems Ltd.,"
